trip_no,booking_no,vehicle_id,driver_id,vendor_id,branch_id,route_from,route_to,distance_km,dispatch_dt,eta,border_allowance,food_allowance,advance,status
TRP-2122,BKG-4224,VEH-061,EMP-0042,VND-0023,BR-011,Bhopal,Lucknow,535,2026-08-18 14:00:00,2026-08-23,1000,400,1250,Completed
TRP-2123,BKG-4225,VEH-005,EMP-0020,VND-0010,BR-018,Morbi,Kolkata,1797,2026-08-15 19:00:00,2026-08-19,1000,400,1600,Completed
TRP-2124,BKG-4226,VEH-029,EMP-0017,,BR-016,Bengaluru,Indore,1099,2026-07-27 19:00:00,2026-08-01,1000,400,1200,Completed
TRP-2125,BKG-4227,VEH-038,EMP-0043,VND-0007,BR-009,Kanpur,Delhi,392,2026-08-26 12:00:00,2026-08-29,1000,400,1300,Planned
TRP-2126,BKG-4228,VEH-024,EMP-0021,VND-0024,BR-002,Delhi,Hyderabad,1259,2026-08-29 18:00:00,2026-09-01,1000,400,1400,Planned
TRP-2127,BKG-4229,VEH-042,EMP-0042,,BR-001,Nagpur,Lucknow,661,2026-07-23 08:00:00,2026-07-27,1000,400,1300,Completed
TRP-2128,BKG-4230,VEH-041,EMP-0026,VND-0009,BR-010,Nashik,Lucknow,1055,2026-08-03 19:00:00,2026-08-08,1000,400,1500,Completed
TRP-2129,BKG-4231,VEH-019,EMP-0024,,BR-017,Gurugram,Pune,1151,2026-07-21 19:00:00,2026-07-23,1000,400,1450,Completed
TRP-2130,BKG-4232,VEH-050,EMP-0029,,BR-011,Bhopal,Kolkata,1124,2026-07-06 08:00:00,2026-07-09,1000,400,1650,Completed
TRP-2131,BKG-4233,VEH-061,EMP-0023,VND-0023,BR-011,Bhopal,Lucknow,535,2026-08-09 18:00:00,2026-08-14,1000,400,1250,Completed
TRP-2132,BKG-4234,VEH-002,EMP-0001,VND-0012,BR-001,Nagpur,Ahmedabad,703,2026-08-11 07:00:00,2026-08-15,1000,400,1250,Completed
TRP-2133,BKG-4235,VEH-021,EMP-0025,,BR-005,Indore,Delhi,673,2026-07-29 07:00:00,2026-07-31,1000,400,1700,Completed
TRP-2134,BKG-4236,VEH-022,EMP-0044,,BR-017,Gurugram,Surat,914,2026-08-19 20:00:00,2026-08-23,1000,400,1650,Completed
TRP-2135,BKG-4237,VEH-040,EMP-0036,,BR-001,Nagpur,Nashik,566,2026-08-15 12:00:00,2026-08-18,1000,400,1250,Completed
TRP-2136,BKG-4238,VEH-037,EMP-0007,VND-0023,BR-010,Nashik,Raipur,828,2026-08-04 06:00:00,2026-08-08,1000,400,1450,Completed
TRP-2137,BKG-4239,VEH-060,EMP-0048,VND-0024,BR-001,Nagpur,Mumbai,688,2026-08-16 08:00:00,2026-08-19,1000,400,1300,Completed
TRP-2138,BKG-4240,VEH-004,EMP-0003,,BR-005,Indore,Delhi,673,2026-08-19 18:00:00,2026-08-22,1000,400,1300,Completed
TRP-2139,BKG-4241,VEH-004,EMP-0003,,BR-005,Indore,Kanpur,614,2026-08-11 11:00:00,2026-08-15,1000,400,1350,Completed
TRP-2140,BKG-4242,VEH-017,EMP-0014,,BR-001,Nagpur,Mumbai,688,2026-07-18 19:00:00,2026-07-21,1000,400,1400,Completed
TRP-2141,BKG-4243,VEH-007,EMP-0018,VND-0010,BR-015,Kolkata,Surat,1610,2026-07-13 13:00:00,2026-07-15,1000,400,1700,Completed
TRP-2142,BKG-4244,VEH-038,EMP-0043,VND-0007,BR-014,Hyderabad,Pune,506,2026-07-24 10:00:00,2026-07-27,1000,400,1450,Completed
TRP-2143,BKG-4245,VEH-008,EMP-0011,,BR-011,Bhopal,Surat,526,2026-08-20 07:00:00,2026-08-24,1000,400,1250,Running
TRP-2144,BKG-4246,VEH-014,EMP-0002,VND-0019,BR-018,Morbi,Raipur,1126,2026-07-13 12:00:00,2026-07-16,1000,400,1750,Completed
TRP-2145,BKG-4247,VEH-042,EMP-0042,,BR-018,Morbi,Mumbai,466,2026-08-18 09:00:00,2026-08-22,1000,400,1350,Completed
TRP-2146,BKG-4248,VEH-042,EMP-0042,,BR-002,Delhi,Pune,1176,2026-08-10 13:00:00,2026-08-14,1000,400,1250,Completed
TRP-2147,BKG-4249,VEH-057,EMP-0045,,BR-008,Surat,Jaipur,705,2026-08-25 19:00:00,2026-08-29,1000,400,1600,Completed
TRP-2148,BKG-4250,VEH-030,EMP-0027,VND-0020,BR-013,Ahmedabad,Kolkata,1619,2026-08-07 12:00:00,2026-08-09,1000,400,1700,Completed
TRP-2149,BKG-4251,VEH-013,EMP-0022,,BR-017,Gurugram,Morbi,882,2026-07-28 11:00:00,2026-08-01,1000,400,1350,Completed
TRP-2150,BKG-4252,VEH-029,EMP-0017,,BR-001,Nagpur,Gurugram,839,2026-08-16 19:00:00,2026-08-18,1000,400,1450,Completed
TRP-2151,BKG-4254,VEH-042,EMP-0042,,BR-003,Mumbai,Indore,510,2026-08-13 10:00:00,2026-08-16,1000,400,1650,Completed
TRP-2152,BKG-4255,VEH-023,EMP-0023,,BR-014,Hyderabad,Lucknow,1082,2026-08-30 18:00:00,2026-09-03,1000,400,1750,Planned
TRP-2153,BKG-4256,VEH-054,EMP-0037,VND-0029,BR-005,Indore,Pune,511,2026-08-17 16:00:00,2026-08-21,1000,400,1700,Completed
TRP-2154,BKG-4257,VEH-013,EMP-0022,,BR-005,Indore,Kanpur,614,2026-08-20 14:00:00,2026-08-25,1000,400,1300,Completed
TRP-2155,BKG-4258,VEH-038,EMP-0043,VND-0007,BR-018,Morbi,Mumbai,466,2026-08-08 11:00:00,2026-08-11,1000,400,1350,Completed
TRP-2156,BKG-4259,VEH-012,EMP-0010,VND-0009,BR-001,Nagpur,Delhi,855,2026-07-31 12:00:00,2026-08-04,1000,400,1600,Completed
TRP-2157,BKG-4260,VEH-026,EMP-0031,,BR-009,Kanpur,Nashik,980,2026-08-05 06:00:00,2026-08-07,1000,400,1450,Completed
TRP-2158,BKG-4261,VEH-043,EMP-0045,,BR-010,Nashik,Raipur,828,2026-08-19 07:00:00,2026-08-24,1000,400,1300,Completed
TRP-2159,BKG-4263,VEH-028,EMP-0008,VND-0027,BR-016,Bengaluru,Hyderabad,500,2026-07-05 09:00:00,2026-07-09,1000,400,1500,Completed
TRP-2160,BKG-4265,VEH-020,EMP-0012,,BR-006,Raipur,Lucknow,626,2026-07-04 17:00:00,2026-07-06,1000,400,1700,Completed
TRP-2161,BKG-4266,VEH-017,EMP-0014,,BR-007,Jaipur,Lucknow,512,2026-08-07 07:00:00,2026-08-10,1000,400,1200,Completed
TRP-2162,BKG-4267,VEH-021,EMP-0025,,BR-006,Raipur,Kanpur,593,2026-07-30 07:00:00,2026-08-02,1000,400,1700,Completed
TRP-2163,BKG-4268,VEH-051,EMP-0006,,BR-007,Jaipur,Morbi,676,2026-08-30 18:00:00,2026-09-01,1000,400,1300,Planned
TRP-2164,BKG-4269,VEH-015,EMP-0015,VND-0018,BR-006,Raipur,Lucknow,626,2026-07-30 07:00:00,2026-08-03,1000,400,1600,Completed
TRP-2165,BKG-4270,VEH-015,EMP-0015,VND-0018,BR-011,Bhopal,Bengaluru,1144,2026-08-18 11:00:00,2026-08-22,1000,400,1300,Completed
TRP-2166,BKG-4271,VEH-022,EMP-0044,,BR-010,Nashik,Delhi,1022,2026-07-27 08:00:00,2026-08-01,1000,400,1450,Completed
TRP-2167,BKG-4272,VEH-046,EMP-0038,,BR-014,Hyderabad,Gurugram,1240,2026-08-12 17:00:00,2026-08-16,1000,400,1500,Completed
TRP-2168,BKG-4273,VEH-045,EMP-0029,,BR-001,Nagpur,Ahmedabad,703,2026-07-23 08:00:00,2026-07-25,1000,400,1600,Completed
TRP-2169,BKG-4274,VEH-006,EMP-0005,,BR-008,Surat,Raipur,912,2026-07-15 06:00:00,2026-07-17,1000,400,1600,Completed
TRP-2170,BKG-4275,VEH-013,EMP-0022,,BR-009,Kanpur,Raipur,593,2026-08-14 15:00:00,2026-08-18,1000,400,1650,Completed
TRP-2171,BKG-4276,VEH-033,EMP-0014,VND-0029,BR-002,Delhi,Nagpur,855,2026-08-27 17:00:00,2026-08-30,1000,400,1550,Planned
TRP-2172,BKG-4277,VEH-002,EMP-0001,VND-0012,BR-010,Nashik,Bengaluru,880,2026-08-18 16:00:00,2026-08-21,1000,400,1700,Completed
TRP-2173,BKG-4278,VEH-049,EMP-0041,VND-0031,BR-005,Indore,Ahmedabad,338,2026-08-03 10:00:00,2026-08-05,1000,400,1250,Completed
TRP-2174,BKG-4279,VEH-026,EMP-0031,,BR-007,Jaipur,Raipur,865,2026-08-08 09:00:00,2026-08-11,1000,400,1550,Completed
TRP-2175,BKG-4281,VEH-047,EMP-0002,VND-0008,BR-018,Morbi,Delhi,910,2026-08-22 09:00:00,2026-08-27,1000,400,1450,At Hub
TRP-2176,BKG-4282,VEH-030,EMP-0027,VND-0020,BR-002,Delhi,Pune,1176,2026-07-10 13:00:00,2026-07-15,1000,400,1350,Completed
TRP-2177,BKG-4283,VEH-015,EMP-0015,VND-0018,BR-011,Bhopal,Surat,526,2026-08-20 12:00:00,2026-08-25,1000,400,1250,Running
TRP-2178,BKG-4284,VEH-013,EMP-0022,,BR-010,Nashik,Kolkata,1536,2026-08-23 14:00:00,2026-08-28,1000,400,1500,Running
TRP-2179,BKG-4285,VEH-005,EMP-0020,VND-0010,BR-013,Ahmedabad,Morbi,179,2026-07-19 14:00:00,2026-07-24,1000,400,1250,Completed
TRP-2180,BKG-4286,VEH-006,EMP-0005,,BR-011,Bhopal,Mumbai,661,2026-08-15 15:00:00,2026-08-19,1000,400,1500,Completed
TRP-2181,BKG-4287,VEH-032,EMP-0039,VND-0015,BR-006,Raipur,Delhi,935,2026-08-15 09:00:00,2026-08-17,1000,400,1350,Completed
TRP-2182,BKG-4288,VEH-004,EMP-0003,,BR-003,Mumbai,Bengaluru,845,2026-08-14 12:00:00,2026-08-17,1000,400,1250,Completed
TRP-2183,BKG-4289,VEH-028,EMP-0017,VND-0027,BR-013,Ahmedabad,Nagpur,703,2026-07-23 16:00:00,2026-07-25,1000,400,1450,Completed
TRP-2184,BKG-4290,VEH-034,EMP-0001,VND-0030,BR-002,Delhi,Mumbai,1151,2026-08-12 08:00:00,2026-08-17,1000,400,1350,Completed
TRP-2185,BKG-4291,VEH-045,EMP-0029,,BR-003,Mumbai,Kanpur,1120,2026-08-12 18:00:00,2026-08-15,1000,400,1700,Completed
TRP-2186,BKG-4292,VEH-053,EMP-0034,VND-0004,BR-005,Indore,Pune,511,2026-08-29 13:00:00,2026-09-03,1000,400,1300,At Hub
TRP-2187,BKG-4293,VEH-047,EMP-0020,VND-0008,BR-016,Bengaluru,Mumbai,845,2026-08-28 18:00:00,2026-09-01,1000,400,1700,Running
TRP-2188,BKG-4294,VEH-045,EMP-0029,,BR-001,Nagpur,Hyderabad,423,2026-08-22 20:00:00,2026-08-24,1000,400,1700,At Hub
TRP-2189,BKG-4295,VEH-002,EMP-0001,VND-0012,BR-001,Nagpur,Hyderabad,423,2026-08-17 08:00:00,2026-08-21,1000,400,1550,Completed
TRP-2190,BKG-4296,VEH-013,EMP-0022,,BR-010,Nashik,Delhi,1022,2026-08-05 13:00:00,2026-08-09,1000,400,1750,Completed
TRP-2191,BKG-4297,VEH-024,EMP-0021,VND-0024,BR-010,Nashik,Bengaluru,880,2026-08-15 07:00:00,2026-08-20,1000,400,1350,Completed
TRP-2192,BKG-4298,VEH-014,EMP-0002,VND-0019,BR-005,Indore,Kanpur,614,2026-08-12 07:00:00,2026-08-14,1000,400,1250,Completed
TRP-2193,BKG-4299,VEH-053,EMP-0034,VND-0004,BR-003,Mumbai,Gurugram,1125,2026-08-29 18:00:00,2026-09-01,1000,400,1650,At Hub
TRP-2194,BKG-4300,VEH-010,EMP-0016,,BR-005,Indore,Kanpur,614,2026-07-20 17:00:00,2026-07-22,1000,400,1650,Completed
TRP-2195,BKG-4302,VEH-050,EMP-0030,,BR-009,Kanpur,Bhopal,461,2026-08-16 06:00:00,2026-08-18,1000,400,1300,Completed
TRP-2196,BKG-4303,VEH-052,EMP-0032,,BR-012,Lucknow,Bhopal,535,2026-08-06 13:00:00,2026-08-09,1000,400,1650,Completed
TRP-2197,BKG-4305,VEH-001,EMP-0004,VND-0034,BR-011,Bhopal,Lucknow,535,2026-08-17 15:00:00,2026-08-20,1000,400,1500,Completed
TRP-2198,BKG-4306,VEH-022,EMP-0044,,BR-009,Kanpur,Surat,962,2026-08-16 12:00:00,2026-08-20,1000,400,1350,Completed
TRP-2199,BKG-4307,VEH-035,EMP-0030,,BR-005,Indore,Surat,357,2026-08-31 14:00:00,2026-09-04,1000,400,1300,Planned
TRP-2200,BKG-4308,VEH-035,EMP-0030,,BR-001,Nagpur,Pune,620,2026-07-20 09:00:00,2026-07-23,1000,400,1450,Completed
TRP-2201,BKG-4309,VEH-045,EMP-0029,,BR-006,Raipur,Indore,617,2026-08-24 14:00:00,2026-08-28,1000,400,1200,Completed
TRP-2202,BKG-4310,VEH-042,EMP-0042,,BR-008,Surat,Kanpur,962,2026-08-21 12:00:00,2026-08-23,1000,400,1550,Completed
TRP-2203,BKG-4311,VEH-058,EMP-0013,,BR-007,Jaipur,Bengaluru,1561,2026-07-08 20:00:00,2026-07-13,1000,400,1500,Completed
TRP-2204,BKG-4312,VEH-060,EMP-0030,VND-0024,BR-007,Jaipur,Surat,705,2026-08-19 08:00:00,2026-08-21,1000,400,1750,Completed
TRP-2205,BKG-4315,VEH-014,EMP-0002,VND-0019,BR-002,Delhi,Nashik,1022,2026-08-11 16:00:00,2026-08-13,1000,400,1200,Completed
TRP-2206,BKG-4316,VEH-004,EMP-0003,,BR-001,Nagpur,Kanpur,603,2026-07-18 17:00:00,2026-07-22,1000,400,1400,Completed
TRP-2207,BKG-4317,VEH-043,EMP-0045,,BR-006,Raipur,Morbi,1126,2026-07-18 09:00:00,2026-07-21,1000,400,1550,Completed
TRP-2208,BKG-4318,VEH-011,EMP-0008,,BR-006,Raipur,Bengaluru,1015,2026-07-14 08:00:00,2026-07-18,1000,400,1500,Completed
TRP-2209,BKG-4319,VEH-051,EMP-0006,,BR-015,Kolkata,Kanpur,920,2026-07-05 06:00:00,2026-07-09,1000,400,1550,Completed
TRP-2210,BKG-4320,VEH-022,EMP-0044,,BR-002,Delhi,Nagpur,855,2026-07-31 11:00:00,2026-08-04,1000,400,1600,Completed
TRP-2211,BKG-4321,VEH-015,EMP-0015,VND-0018,BR-007,Jaipur,Surat,705,2026-08-19 16:00:00,2026-08-24,1000,400,1550,Completed
TRP-2212,BKG-4322,VEH-061,EMP-0003,VND-0023,BR-011,Bhopal,Lucknow,535,2026-08-04 19:00:00,2026-08-09,1000,400,1700,Completed
TRP-2213,BKG-4323,VEH-027,EMP-0034,,BR-014,Hyderabad,Bengaluru,500,2026-07-31 11:00:00,2026-08-03,1000,400,1550,Completed
TRP-2214,BKG-4324,VEH-003,EMP-0009,VND-0008,BR-017,Gurugram,Morbi,882,2026-08-13 16:00:00,2026-08-18,1000,400,1550,Completed
TRP-2215,BKG-4325,VEH-036,EMP-0016,,BR-001,Nagpur,Indore,376,2026-07-10 06:00:00,2026-07-13,1000,400,1300,Completed
TRP-2216,BKG-4326,VEH-016,EMP-0028,,BR-005,Indore,Mumbai,510,2026-08-08 12:00:00,2026-08-11,1000,400,1350,Completed
TRP-2217,BKG-4327,VEH-017,EMP-0014,,BR-008,Surat,Lucknow,1038,2026-07-05 18:00:00,2026-07-08,1000,400,1700,Completed
TRP-2218,BKG-4328,VEH-021,EMP-0025,,BR-002,Delhi,Kanpur,392,2026-08-21 18:00:00,2026-08-25,1000,400,1600,At Hub
TRP-2219,BKG-4329,VEH-057,EMP-0016,,BR-007,Jaipur,Kolkata,1358,2026-08-25 18:00:00,2026-08-30,1000,400,1700,Running
TRP-2220,BKG-4330,VEH-036,EMP-0014,,BR-011,Bhopal,Kolkata,1124,2026-07-13 18:00:00,2026-07-17,1000,400,1450,Completed
TRP-2221,BKG-4331,VEH-022,EMP-0044,,BR-011,Bhopal,Gurugram,579,2026-07-26 07:00:00,2026-07-29,1000,400,1700,Completed
TRP-2222,BKG-4332,VEH-033,EMP-0014,VND-0029,BR-012,Lucknow,Nagpur,661,2026-08-27 15:00:00,2026-09-01,1000,400,1250,Planned
TRP-2223,BKG-4333,VEH-059,EMP-0046,,BR-001,Nagpur,Lucknow,661,2026-08-21 18:00:00,2026-08-24,1000,400,1650,At Hub
TRP-2224,BKG-4334,VEH-023,EMP-0023,,BR-015,Kolkata,Lucknow,887,2026-08-23 09:00:00,2026-08-26,1000,400,1450,Completed
TRP-2225,BKG-4335,VEH-014,EMP-0002,VND-0019,BR-004,Pune,Morbi,571,2026-08-14 11:00:00,2026-08-18,1000,400,1350,Completed
TRP-2226,BKG-4336,VEH-044,EMP-0038,,BR-007,Jaipur,Pune,954,2026-08-20 06:00:00,2026-08-25,1000,400,1600,Completed
TRP-2227,BKG-4337,VEH-015,EMP-0015,VND-0018,BR-001,Nagpur,Indore,376,2026-08-08 10:00:00,2026-08-13,1000,400,1550,Completed
TRP-2228,BKG-4338,VEH-009,EMP-0019,VND-0028,BR-008,Surat,Hyderabad,727,2026-08-27 11:00:00,2026-08-31,1000,400,1500,Planned
TRP-2229,BKG-4339,VEH-003,EMP-0009,VND-0008,BR-007,Jaipur,Raipur,865,2026-08-17 10:00:00,2026-08-20,1000,400,1350,Completed
TRP-2230,BKG-4340,VEH-062,EMP-0032,VND-0031,BR-018,Morbi,Bengaluru,1306,2026-08-31 14:00:00,2026-09-02,1000,400,1450,Planned
TRP-2231,BKG-4341,VEH-012,EMP-0010,VND-0009,BR-012,Lucknow,Bengaluru,1582,2026-08-25 19:00:00,2026-08-27,1000,400,1500,Completed
TRP-2232,BKG-4342,VEH-061,EMP-0034,VND-0023,BR-016,Bengaluru,Surat,1042,2026-08-02 08:00:00,2026-08-07,1000,400,1600,Completed
TRP-2233,BKG-4343,VEH-019,EMP-0024,,BR-001,Nagpur,Hyderabad,423,2026-08-07 17:00:00,2026-08-12,1000,400,1250,Completed
TRP-2234,BKG-4344,VEH-036,EMP-0039,,BR-011,Bhopal,Gurugram,579,2026-08-21 19:00:00,2026-08-23,1000,400,1600,Running
TRP-2235,BKG-4345,VEH-049,EMP-0048,VND-0031,BR-001,Nagpur,Bengaluru,923,2026-07-09 15:00:00,2026-07-13,1000,400,1550,Completed
TRP-2236,BKG-4346,VEH-030,EMP-0027,VND-0020,BR-005,Indore,Lucknow,689,2026-07-28 15:00:00,2026-08-01,1000,400,1200,Completed
TRP-2237,BKG-4347,VEH-042,EMP-0042,,BR-008,Surat,Pune,314,2026-08-14 12:00:00,2026-08-19,1000,400,1450,Completed
TRP-2238,BKG-4348,VEH-057,EMP-0028,,BR-016,Bengaluru,Lucknow,1582,2026-07-25 19:00:00,2026-07-29,1000,400,1250,Completed
TRP-2239,BKG-4349,VEH-030,EMP-0027,VND-0020,BR-010,Nashik,Hyderabad,574,2026-08-05 12:00:00,2026-08-08,1000,400,1500,Completed
TRP-2240,BKG-4351,VEH-042,EMP-0042,,BR-010,Nashik,Surat,164,2026-08-13 06:00:00,2026-08-18,1000,400,1400,Completed
TRP-2241,BKG-4352,VEH-010,EMP-0016,,BR-014,Hyderabad,Kolkata,1182,2026-08-16 09:00:00,2026-08-20,1000,400,1650,Completed
TRP-2242,BKG-4355,VEH-030,EMP-0027,VND-0020,BR-012,Lucknow,Nashik,1055,2026-08-05 08:00:00,2026-08-08,1000,400,1700,Completed
TRP-2243,BKG-4356,VEH-013,EMP-0022,,BR-017,Gurugram,Mumbai,1125,2026-08-08 06:00:00,2026-08-10,1000,400,1200,Completed
TRP-2244,BKG-4357,VEH-031,EMP-0028,VND-0029,BR-008,Surat,Jaipur,705,2026-07-04 12:00:00,2026-07-06,1000,400,1250,Completed
TRP-2245,BKG-4358,VEH-057,EMP-0028,,BR-014,Hyderabad,Nagpur,423,2026-08-19 08:00:00,2026-08-22,1000,400,1600,Completed
TRP-2246,BKG-4359,VEH-015,EMP-0015,VND-0018,BR-011,Bhopal,Morbi,675,2026-08-28 07:00:00,2026-09-01,1000,400,1450,Planned
TRP-2247,BKG-4360,VEH-030,EMP-0027,VND-0020,BR-012,Lucknow,Raipur,626,2026-08-08 18:00:00,2026-08-13,1000,400,1300,Completed
TRP-2248,BKG-4361,VEH-030,EMP-0027,VND-0020,BR-001,Nagpur,Gurugram,839,2026-08-21 15:00:00,2026-08-23,1000,400,1500,Running
TRP-2249,BKG-4362,VEH-009,EMP-0019,VND-0028,BR-011,Bhopal,Lucknow,535,2026-07-28 17:00:00,2026-08-01,1000,400,1400,Completed
TRP-2250,BKG-4363,VEH-030,EMP-0027,VND-0020,BR-013,Ahmedabad,Bengaluru,1237,2026-08-17 16:00:00,2026-08-20,1000,400,1500,Completed
TRP-2251,BKG-4364,VEH-011,EMP-0008,,BR-016,Bengaluru,Surat,1042,2026-08-14 11:00:00,2026-08-17,1000,400,1250,Completed
TRP-2252,BKG-4365,VEH-037,EMP-0007,VND-0023,BR-010,Nashik,Kolkata,1536,2026-07-28 13:00:00,2026-08-02,1000,400,1550,Completed
TRP-2253,BKG-4366,VEH-019,EMP-0024,,BR-005,Indore,Nagpur,376,2026-07-14 07:00:00,2026-07-19,1000,400,1750,Completed
TRP-2254,BKG-4367,VEH-062,EMP-0021,VND-0031,BR-011,Bhopal,Nagpur,291,2026-07-13 12:00:00,2026-07-17,1000,400,1600,Completed
TRP-2255,BKG-4368,VEH-024,EMP-0021,VND-0024,BR-007,Jaipur,Hyderabad,1095,2026-07-18 09:00:00,2026-07-23,1000,400,1550,Completed
TRP-2256,BKG-4369,VEH-002,EMP-0001,VND-0012,BR-014,Hyderabad,Jaipur,1095,2026-08-04 14:00:00,2026-08-09,1000,400,1600,Completed
TRP-2257,BKG-4370,VEH-005,EMP-0020,VND-0010,BR-012,Lucknow,Kolkata,887,2026-07-17 16:00:00,2026-07-22,1000,400,1750,Completed
TRP-2258,BKG-4371,VEH-037,EMP-0007,VND-0023,BR-018,Morbi,Lucknow,1114,2026-07-28 11:00:00,2026-07-30,1000,400,1250,Completed
TRP-2259,BKG-4372,VEH-024,EMP-0021,VND-0024,BR-013,Ahmedabad,Raipur,953,2026-08-10 15:00:00,2026-08-14,1000,400,1650,Completed
TRP-2260,BKG-4373,VEH-021,EMP-0025,,BR-014,Hyderabad,Mumbai,621,2026-07-26 19:00:00,2026-07-28,1000,400,1500,Completed
TRP-2261,BKG-4374,VEH-049,EMP-0032,VND-0031,BR-010,Nashik,Surat,164,2026-08-29 16:00:00,2026-09-01,1000,400,1300,Running
TRP-2262,BKG-4375,VEH-061,EMP-0035,VND-0023,BR-018,Morbi,Lucknow,1114,2026-08-26 18:00:00,2026-08-29,1000,400,1250,Running
TRP-2263,BKG-4376,VEH-009,EMP-0019,VND-0028,BR-002,Delhi,Nashik,1022,2026-08-19 17:00:00,2026-08-24,1000,400,1450,Completed
TRP-2264,BKG-4377,VEH-037,EMP-0007,VND-0023,BR-005,Indore,Mumbai,510,2026-07-14 11:00:00,2026-07-16,1000,400,1700,Completed
TRP-2265,BKG-4378,VEH-010,EMP-0016,,BR-011,Bhopal,Surat,526,2026-08-25 09:00:00,2026-08-30,1000,400,1700,Completed
TRP-2266,BKG-4379,VEH-062,EMP-0018,VND-0031,BR-006,Raipur,Jaipur,865,2026-08-16 14:00:00,2026-08-20,1000,400,1300,Completed
TRP-2267,BKG-4380,VEH-036,EMP-0025,,BR-013,Ahmedabad,Kolkata,1619,2026-08-07 13:00:00,2026-08-09,1000,400,1200,Completed
TRP-2268,BKG-4381,VEH-023,EMP-0023,,BR-011,Bhopal,Mumbai,661,2026-08-05 16:00:00,2026-08-10,1000,400,1400,Completed
TRP-2269,BKG-4382,VEH-014,EMP-0002,VND-0019,BR-007,Jaipur,Nagpur,723,2026-08-10 14:00:00,2026-08-12,1000,400,1600,Completed
TRP-2270,BKG-4383,VEH-059,EMP-0046,,BR-011,Bhopal,Nashik,521,2026-08-14 13:00:00,2026-08-19,1000,400,1500,Completed
TRP-2271,BKG-4384,VEH-015,EMP-0015,VND-0018,BR-012,Lucknow,Pune,1177,2026-08-03 09:00:00,2026-08-08,1000,400,1400,Completed
