cn_no,lr_no,booking_no,trip_no,client_id,vehicle_id,driver_id,branch_id,origin_city,dest_city,origin_addr,dest_addr,weight_t,freight,dispatch_date,expected_delivery,delivered_date,parent_cn_no,status
CN-90539,LR-8539,BKG-4241,TRP-2139,CUST-0038,VEH-004,EMP-0003,BR-005,Indore,Kanpur,"Gate 3, Indore","Godown, Kanpur",24.5,25100,2026-08-11,2026-08-15,2026-08-15,,Delivered
CN-90540,LR-8540,BKG-4242,TRP-2140,CUST-0105,VEH-017,EMP-0014,BR-001,Nagpur,Mumbai,"Gate 5, Nagpur","Depot, Mumbai",14.2,16500,2026-07-18,2026-07-21,2026-07-21,,Delivered
CN-90541,LR-8541,BKG-4243,TRP-2141,CUST-0024,VEH-007,EMP-0018,BR-015,Kolkata,Surat,"Gate 2, Kolkata","Warehouse, Surat",6.2,13500,2026-07-13,2026-07-15,2026-07-15,,Delivered
CN-90542,LR-8542,BKG-4244,TRP-2142,CUST-0050,VEH-038,EMP-0043,BR-014,Hyderabad,Pune,"Gate 1, Hyderabad","Godown, Pune",17.5,17000,2026-07-24,2026-07-27,2026-07-27,,Delivered
CN-90543,LR-8543,BKG-4245,TRP-2143,CUST-0023,VEH-008,EMP-0011,BR-011,Bhopal,Surat,"Gate 4, Bhopal","Warehouse, Surat",3.1,5100,2026-08-20,2026-08-24,,,At Hub
CN-90544,LR-8544,BKG-4246,TRP-2144,CUST-0162,VEH-014,EMP-0002,BR-018,Morbi,Raipur,"Gate 6, Morbi","Warehouse, Raipur",7.1,12100,2026-07-13,2026-07-16,2026-07-16,,Delivered
CN-90545,LR-8545,BKG-4247,TRP-2145,CUST-0162,VEH-042,EMP-0042,BR-018,Morbi,Mumbai,"Gate 6, Morbi","Godown, Mumbai",10.4,10800,2026-08-18,2026-08-22,2026-08-22,,Delivered
CN-90546,LR-8546,BKG-4248,TRP-2146,CUST-0077,VEH-042,EMP-0042,BR-002,Delhi,Pune,"Gate 5, Delhi","Warehouse, Pune",23.3,35100,2026-08-10,2026-08-14,2026-08-14,,Delivered
CN-90547,LR-8547,BKG-4249,TRP-2147,CUST-0036,VEH-057,EMP-0045,BR-008,Surat,Jaipur,"Gate 5, Surat","Godown, Jaipur",14.8,17300,2026-08-25,2026-08-29,2026-08-29,,Delivered
CN-90548,LR-8548,BKG-4250,TRP-2148,CUST-0040,VEH-030,EMP-0027,BR-013,Ahmedabad,Kolkata,"Gate 6, Ahmedabad","Godown, Kolkata",22.5,42500,2026-08-07,2026-08-09,2026-08-09,,Delivered
CN-90549,LR-8549,BKG-4251,TRP-2149,CUST-0152,VEH-013,EMP-0022,BR-017,Gurugram,Morbi,"Gate 3, Gurugram","Warehouse, Morbi",15.1,19900,2026-07-28,2026-08-01,2026-08-01,,Delivered
CN-90550,LR-8550,BKG-4252,TRP-2150,CUST-0020,VEH-029,EMP-0017,BR-001,Nagpur,Gurugram,"Gate 3, Nagpur","Godown, Gurugram",8.4,11900,2026-08-16,2026-08-18,2026-08-18,,Delivered
CN-90551,LR-8551,BKG-4254,TRP-2151,CUST-0182,VEH-042,EMP-0042,BR-003,Mumbai,Indore,"Gate 4, Mumbai","Godown, Indore",14,14200,2026-08-13,2026-08-16,2026-08-16,,Delivered
CN-90552,LR-8552,BKG-4255,TRP-2152,CUST-0050,VEH-023,EMP-0023,BR-014,Hyderabad,Lucknow,"Gate 1, Hyderabad","Warehouse, Lucknow",17.5,25600,2026-08-30,2026-09-03,,,In Prep
CN-90553,LR-8553,BKG-4256,TRP-2153,CUST-0048,VEH-054,EMP-0037,BR-005,Indore,Pune,"Gate 2, Indore","Godown, Pune",7.4,8700,2026-08-17,2026-08-21,2026-08-21,,Delivered
CN-90554,LR-8554,BKG-4257,TRP-2154,CUST-0155,VEH-013,EMP-0022,BR-005,Indore,Kanpur,"Gate 3, Indore","Warehouse, Kanpur",7.2,9100,2026-08-20,2026-08-25,2026-08-25,,Delivered
CN-90555,LR-8555,BKG-4258,TRP-2155,CUST-0158,VEH-038,EMP-0043,BR-018,Morbi,Mumbai,"Gate 1, Morbi","Warehouse, Mumbai",15.4,14800,2026-08-08,2026-08-11,2026-08-11,,Delivered
CN-90556,LR-8556,BKG-4259,TRP-2156,CUST-0091,VEH-012,EMP-0010,BR-001,Nagpur,Delhi,"Gate 4, Nagpur","Warehouse, Delhi",12.8,16900,2026-07-31,2026-08-04,2026-08-04,,Delivered
CN-90557,LR-8557,BKG-4260,TRP-2157,CUST-0015,VEH-026,EMP-0031,BR-009,Kanpur,Nashik,"Gate 2, Kanpur","Warehouse, Nashik",3.6,6900,2026-08-05,2026-08-07,2026-08-07,,Delivered
CN-90558,LR-8558,BKG-4261,TRP-2158,CUST-0055,VEH-043,EMP-0045,BR-010,Nashik,Raipur,"Gate 3, Nashik","Godown, Raipur",13.9,17800,2026-08-19,2026-08-24,2026-08-24,,Delivered
CN-90559,LR-8559,BKG-4263,TRP-2159,CUST-0148,VEH-028,EMP-0008,BR-016,Bengaluru,Hyderabad,"Gate 1, Bengaluru","Depot, Hyderabad",6.6,7900,2026-07-05,2026-07-09,2026-07-09,,Delivered
CN-90560,LR-8560,BKG-4265,TRP-2160,CUST-0057,VEH-020,EMP-0012,BR-006,Raipur,Lucknow,"Gate 4, Raipur","Warehouse, Lucknow",9.7,11500,2026-07-04,2026-07-06,2026-07-06,,Delivered
CN-90561,LR-8561,BKG-4266,TRP-2161,CUST-0011,VEH-017,EMP-0014,BR-007,Jaipur,Lucknow,"Gate 4, Jaipur","Depot, Lucknow",6.9,8300,2026-08-07,2026-08-10,2026-08-10,,Delivered
CN-90562,LR-8562,BKG-4267,TRP-2162,CUST-0084,VEH-021,EMP-0025,BR-006,Raipur,Kanpur,"Gate 4, Raipur","Warehouse, Kanpur",9.2,10800,2026-07-30,2026-08-02,2026-08-02,,Delivered
CN-90563,LR-8563,BKG-4268,TRP-2163,CUST-0174,VEH-051,EMP-0006,BR-007,Jaipur,Morbi,"Gate 3, Jaipur","Warehouse, Morbi",16.4,18500,2026-08-30,2026-09-01,,,In Prep
CN-90564,LR-8564,BKG-4269,TRP-2164,CUST-0114,VEH-015,EMP-0015,BR-006,Raipur,Lucknow,"Gate 2, Raipur","Godown, Lucknow",10.1,11900,2026-07-30,2026-08-03,2026-08-03,,Delivered
CN-90565,LR-8565,BKG-4270,TRP-2165,CUST-0134,VEH-015,EMP-0015,BR-011,Bhopal,Bengaluru,"Gate 5, Bhopal","Warehouse, Bengaluru",18.6,28000,2026-08-18,2026-08-22,2026-08-22,,Delivered
CN-90566,LR-8566,BKG-4271,TRP-2166,CUST-0096,VEH-022,EMP-0044,BR-010,Nashik,Delhi,"Gate 4, Nashik","Godown, Delhi",23.7,32600,2026-07-27,2026-08-01,2026-08-01,,Delivered
CN-90567,LR-8567,BKG-4272,TRP-2167,CUST-0214,VEH-046,EMP-0038,BR-014,Hyderabad,Gurugram,"Gate 2, Hyderabad","Godown, Gurugram",6.2,11500,2026-08-12,2026-08-16,2026-08-16,,Delivered
CN-90568,LR-8568,BKG-4273,TRP-2168,CUST-0016,VEH-045,EMP-0029,BR-001,Nagpur,Ahmedabad,"Gate 5, Nagpur","Godown, Ahmedabad",16.3,18800,2026-07-23,2026-07-25,2026-07-25,,Delivered
CN-90569,LR-8569,BKG-4274,TRP-2169,CUST-0175,VEH-006,EMP-0005,BR-008,Surat,Raipur,"Gate 2, Surat","Warehouse, Raipur",10,14300,2026-07-15,2026-07-17,2026-07-17,,Delivered
CN-90570,LR-8570,BKG-4275,TRP-2170,CUST-0083,VEH-013,EMP-0022,BR-009,Kanpur,Raipur,"Gate 2, Kanpur","Warehouse, Raipur",3.1,5300,2026-08-14,2026-08-18,2026-08-18,,Delivered
CN-90571,LR-8571,BKG-4276,TRP-2171,CUST-0031,VEH-033,EMP-0014,BR-002,Delhi,Nagpur,"Gate 1, Delhi","Warehouse, Nagpur",23.4,28900,2026-08-27,2026-08-30,,,In Prep
CN-90572,LR-8572,BKG-4277,TRP-2172,CUST-0115,VEH-002,EMP-0001,BR-010,Nashik,Bengaluru,"Gate 5, Nashik","Depot, Bengaluru",7.1,10700,2026-08-18,2026-08-21,2026-08-21,,Delivered
CN-90573,LR-8573,BKG-4278,TRP-2173,CUST-0032,VEH-049,EMP-0041,BR-005,Indore,Ahmedabad,"Gate 1, Indore","Godown, Ahmedabad",11.9,10700,2026-08-03,2026-08-05,2026-08-05,,Delivered
CN-90574,LR-8574,BKG-4279,TRP-2174,CUST-0192,VEH-026,EMP-0031,BR-007,Jaipur,Raipur,"Gate 6, Jaipur","Godown, Raipur",12.1,16200,2026-08-08,2026-08-11,2026-08-11,,Delivered
CN-90575,LR-8575,BKG-4281,TRP-2175,CUST-0079,VEH-047,EMP-0002,BR-018,Morbi,Delhi,"Gate 4, Morbi","Godown, Delhi",7.9,11800,2026-08-22,2026-08-27,,,Dispatched
CN-90576,LR-8576,BKG-4282,TRP-2176,CUST-0164,VEH-030,EMP-0027,BR-002,Delhi,Pune,"Gate 4, Delhi","Warehouse, Pune",8.9,15000,2026-07-10,2026-07-15,2026-07-15,,Delivered
CN-90577,LR-8577,BKG-4283,TRP-2177,CUST-0211,VEH-015,EMP-0015,BR-011,Bhopal,Surat,"Gate 6, Bhopal","Depot, Surat",5.3,7000,2026-08-20,2026-08-25,,,In Transit
CN-90578,LR-8578,BKG-4284,TRP-2178,CUST-0055,VEH-013,EMP-0022,BR-010,Nashik,Kolkata,"Gate 3, Nashik","Godown, Kolkata",9.7,19000,2026-08-23,2026-08-28,,,Out for Delivery
CN-90579,LR-8579,BKG-4285,TRP-2179,CUST-0017,VEH-005,EMP-0020,BR-013,Ahmedabad,Morbi,"Gate 3, Ahmedabad","Depot, Morbi",23.3,15400,2026-07-19,2026-07-24,2026-07-24,,Delivered
CN-90580,LR-8580,BKG-4286,TRP-2180,CUST-0023,VEH-006,EMP-0005,BR-011,Bhopal,Mumbai,"Gate 4, Bhopal","Godown, Mumbai",15.3,17200,2026-08-15,2026-08-19,2026-08-19,,Delivered
CN-90581,LR-8581,BKG-4287,TRP-2181,CUST-0109,VEH-032,EMP-0039,BR-006,Raipur,Delhi,"Gate 5, Raipur","Godown, Delhi",11,15600,2026-08-15,2026-08-17,2026-08-17,,Delivered
CN-90582,LR-8582,BKG-4288,TRP-2182,CUST-0182,VEH-004,EMP-0003,BR-003,Mumbai,Bengaluru,"Gate 4, Mumbai","Godown, Bengaluru",15.7,20100,2026-08-14,2026-08-17,2026-08-17,,Delivered
CN-90583,LR-8583,BKG-4289,TRP-2183,CUST-0166,VEH-028,EMP-0017,BR-013,Ahmedabad,Nagpur,"Gate 3, Ahmedabad","Godown, Nagpur",7,9500,2026-07-23,2026-07-25,2026-07-25,,Delivered
CN-90584,LR-8584,BKG-4290,TRP-2184,CUST-0092,VEH-034,EMP-0001,BR-002,Delhi,Mumbai,"Gate 6, Delhi","Depot, Mumbai",10.6,17100,2026-08-12,2026-08-17,2026-08-17,,Delivered
CN-90585,LR-8585,BKG-4291,TRP-2185,CUST-0132,VEH-045,EMP-0029,BR-003,Mumbai,Kanpur,"Gate 6, Mumbai","Godown, Kanpur",14,21400,2026-08-12,2026-08-15,2026-08-15,,Delivered
CN-90586,LR-8586,BKG-4292,TRP-2186,CUST-0056,VEH-053,EMP-0034,BR-005,Indore,Pune,"Gate 3, Indore","Depot, Pune",16,15900,2026-08-29,2026-09-03,,,Dispatched
CN-90587,LR-8587,BKG-4293,TRP-2187,CUST-0193,VEH-047,EMP-0020,BR-016,Bengaluru,Mumbai,"Gate 2, Bengaluru","Depot, Mumbai",20.3,25200,2026-08-28,2026-09-01,,,In Transit
CN-90588,LR-8588,BKG-4294,TRP-2188,CUST-0091,VEH-045,EMP-0029,BR-001,Nagpur,Hyderabad,"Gate 4, Nagpur","Depot, Hyderabad",26.7,22800,2026-08-22,2026-08-24,,,Dispatched
CN-90589,LR-8589,BKG-4295,TRP-2189,CUST-0143,VEH-002,EMP-0001,BR-001,Nagpur,Hyderabad,"Gate 2, Nagpur","Depot, Hyderabad",6.3,7300,2026-08-17,2026-08-21,2026-08-21,,Delivered
CN-90590,LR-8590,BKG-4296,TRP-2190,CUST-0126,VEH-013,EMP-0022,BR-010,Nashik,Delhi,"Gate 2, Nashik","Depot, Delhi",18.2,25600,2026-08-05,2026-08-09,2026-08-09,,Delivered
CN-90591,LR-8591,BKG-4297,TRP-2191,CUST-0096,VEH-024,EMP-0021,BR-010,Nashik,Bengaluru,"Gate 4, Nashik","Warehouse, Bengaluru",25.6,31900,2026-08-15,2026-08-20,2026-08-20,,Delivered
CN-90592,LR-8592,BKG-4298,TRP-2192,CUST-0155,VEH-014,EMP-0002,BR-005,Indore,Kanpur,"Gate 3, Indore","Warehouse, Kanpur",22.3,23000,2026-08-12,2026-08-14,2026-08-14,,Delivered
CN-90593,LR-8593,BKG-4299,TRP-2193,CUST-0124,VEH-053,EMP-0034,BR-003,Mumbai,Gurugram,"Gate 3, Mumbai","Godown, Gurugram",15.2,23100,2026-08-29,2026-09-01,,,At Hub
CN-90594,LR-8594,BKG-4300,TRP-2194,CUST-0072,VEH-010,EMP-0016,BR-005,Indore,Kanpur,"Gate 3, Indore","Warehouse, Kanpur",30,30100,2026-07-20,2026-07-22,2026-07-22,,Delivered
CN-90595,LR-8595,BKG-4302,TRP-2195,CUST-0065,VEH-050,EMP-0030,BR-009,Kanpur,Bhopal,"Gate 4, Kanpur","Warehouse, Bhopal",3.1,5000,2026-08-16,2026-08-18,2026-08-18,,Delivered
CN-90596,LR-8596,BKG-4303,TRP-2196,CUST-0191,VEH-052,EMP-0032,BR-012,Lucknow,Bhopal,"Gate 6, Lucknow","Depot, Bhopal",9.4,10500,2026-08-06,2026-08-09,2026-08-09,,Delivered
CN-90597,LR-8597,BKG-4305,TRP-2197,CUST-0023,VEH-001,EMP-0004,BR-011,Bhopal,Lucknow,"Gate 4, Bhopal","Godown, Lucknow",7.2,8700,2026-08-17,2026-08-20,2026-08-20,,Delivered
CN-90598,LR-8598,BKG-4306,TRP-2198,CUST-0065,VEH-022,EMP-0044,BR-009,Kanpur,Surat,"Gate 4, Kanpur","Godown, Surat",27.3,35700,2026-08-16,2026-08-20,2026-08-20,,Delivered
CN-90599,LR-8599,BKG-4307,TRP-2199,CUST-0210,VEH-035,EMP-0030,BR-005,Indore,Surat,"Gate 6, Indore","Godown, Surat",7.9,8100,2026-08-31,2026-09-04,,,In Prep
CN-90600,LR-8600,BKG-4308,TRP-2200,CUST-0205,VEH-035,EMP-0030,BR-001,Nagpur,Pune,"Gate 3, Nagpur","Godown, Pune",9.6,11400,2026-07-20,2026-07-23,2026-07-23,,Delivered
CN-90601,LR-8601,BKG-4309,TRP-2201,CUST-0018,VEH-045,EMP-0029,BR-006,Raipur,Indore,"Gate 1, Raipur","Godown, Indore",6.8,8800,2026-08-24,2026-08-28,2026-08-28,,Delivered
CN-90602,LR-8602,BKG-4310,TRP-2202,CUST-0035,VEH-042,EMP-0042,BR-008,Surat,Kanpur,"Gate 3, Surat","Warehouse, Kanpur",20.5,27500,2026-08-21,2026-08-23,2026-08-23,,Delivered
CN-90603,LR-8603,BKG-4311,TRP-2203,CUST-0204,VEH-058,EMP-0013,BR-007,Jaipur,Bengaluru,"Gate 2, Jaipur","Depot, Bengaluru",11,21500,2026-07-08,2026-07-13,2026-07-13,,Delivered
CN-90604,LR-8604,BKG-4312,TRP-2204,CUST-0174,VEH-060,EMP-0030,BR-007,Jaipur,Surat,"Gate 3, Jaipur","Depot, Surat",10.3,12800,2026-08-19,2026-08-21,2026-08-21,,Delivered
CN-90605,LR-8605,BKG-4315,TRP-2205,CUST-0077,VEH-014,EMP-0002,BR-002,Delhi,Nashik,"Gate 5, Delhi","Warehouse, Nashik",14.9,21400,2026-08-11,2026-08-13,2026-08-13,,Delivered
CN-90606,LR-8606,BKG-4316,TRP-2206,CUST-0185,VEH-004,EMP-0003,BR-001,Nagpur,Kanpur,"Gate 3, Nagpur","Godown, Kanpur",14.5,15700,2026-07-18,2026-07-22,2026-07-22,,Delivered
CN-90607,LR-8607,BKG-4317,TRP-2207,CUST-0075,VEH-043,EMP-0045,BR-006,Raipur,Morbi,"Gate 3, Raipur","Depot, Morbi",22.7,33300,2026-07-18,2026-07-21,2026-07-21,,Delivered
CN-90608,LR-8608,BKG-4318,TRP-2208,CUST-0057,VEH-011,EMP-0008,BR-006,Raipur,Bengaluru,"Gate 4, Raipur","Depot, Bengaluru",10.9,16300,2026-07-14,2026-07-18,2026-07-18,,Delivered
CN-90609,LR-8609,BKG-4319,TRP-2209,CUST-0068,VEH-051,EMP-0006,BR-015,Kolkata,Kanpur,"Gate 4, Kolkata","Depot, Kanpur",7.6,11500,2026-07-05,2026-07-09,2026-07-09,,Delivered
CN-90610,LR-8610,BKG-4320,TRP-2210,CUST-0031,VEH-022,EMP-0044,BR-002,Delhi,Nagpur,"Gate 1, Delhi","Godown, Nagpur",24.1,29700,2026-07-31,2026-08-04,2026-08-04,,Delivered
CN-90611,LR-8611,BKG-4321,TRP-2211,CUST-0058,VEH-015,EMP-0015,BR-007,Jaipur,Surat,"Gate 2, Jaipur","Depot, Surat",15.7,18200,2026-08-19,2026-08-24,2026-08-24,,Delivered
CN-90612,LR-8612,BKG-4322,TRP-2212,CUST-0022,VEH-061,EMP-0003,BR-011,Bhopal,Lucknow,"Gate 3, Bhopal","Godown, Lucknow",17,17000,2026-08-04,2026-08-09,2026-08-09,,Delivered
CN-90613,LR-8613,BKG-4323,TRP-2213,CUST-0050,VEH-027,EMP-0034,BR-014,Hyderabad,Bengaluru,"Gate 1, Hyderabad","Depot, Bengaluru",14.4,14400,2026-07-31,2026-08-03,2026-08-03,,Delivered
CN-90614,LR-8614,BKG-4324,TRP-2214,CUST-0095,VEH-003,EMP-0009,BR-017,Gurugram,Morbi,"Gate 5, Gurugram","Warehouse, Morbi",5.2,8500,2026-08-13,2026-08-18,2026-08-18,,Delivered
CN-90615,LR-8615,BKG-4325,TRP-2215,CUST-0012,VEH-036,EMP-0016,BR-001,Nagpur,Indore,"Gate 4, Nagpur","Warehouse, Indore",25.2,20600,2026-07-10,2026-07-13,2026-07-13,,Delivered
CN-90616,LR-8616,BKG-4326,TRP-2216,CUST-0155,VEH-016,EMP-0028,BR-005,Indore,Mumbai,"Gate 3, Indore","Warehouse, Mumbai",17.6,17200,2026-08-08,2026-08-11,2026-08-11,,Delivered
CN-90617,LR-8617,BKG-4327,TRP-2217,CUST-0086,VEH-017,EMP-0014,BR-008,Surat,Lucknow,"Gate 1, Surat","Depot, Lucknow",10.1,15400,2026-07-05,2026-07-08,2026-07-08,,Delivered
