route_id,src_pincode,src_city,dst_pincode,dst_city,distance_km,transit_days,route_path,branch_mapping,pickup_zone,delivery_zone,availability
RT-0060,462001,Bhopal,380001,Ahmedabad,496,2,Bhopal → Ahmedabad,Bhopal → Ahmedabad,Zone West,Zone East,Available
RT-0061,400001,Mumbai,462001,Bhopal,661,2,Mumbai → Bhopal,Mumbai → Bhopal,Zone East,Zone Central,Available
RT-0062,363641,Morbi,380001,Ahmedabad,179,1,Morbi → Ahmedabad,Morbi → Ahmedabad,Zone Central,Zone South,Available
RT-0063,302001,Jaipur,363641,Morbi,676,2,Jaipur → Morbi,Jaipur → Morbi,Zone North,Zone North,Available
RT-0064,400001,Mumbai,492001,Raipur,945,3,Mumbai → Raipur,Mumbai → Raipur,Zone East,Zone West,Available
RT-0065,302001,Jaipur,395001,Surat,705,2,Jaipur → Surat,Jaipur → Surat,Zone North,Zone East,Available
RT-0066,122001,Gurugram,226001,Lucknow,426,1,Gurugram → Lucknow,Gurugram → Lucknow,Zone South,Zone South,Available
RT-0067,411001,Pune,226001,Lucknow,1177,3,Pune → Lucknow,Pune → Lucknow,Zone South,Zone Central,Available
RT-0068,380001,Ahmedabad,411001,Pune,518,2,Ahmedabad → Pune,Ahmedabad → Pune,Zone South,Zone East,Available
RT-0069,492001,Raipur,363641,Morbi,1126,3,Raipur → Morbi,Raipur → Morbi,Zone North,Zone South,Available
RT-0070,226001,Lucknow,500001,Hyderabad,1082,3,Lucknow → Hyderabad,Lucknow → Hyderabad,Zone North,Zone South,Available
RT-0071,500001,Hyderabad,700001,Kolkata,1182,3,Hyderabad → Kolkata,Hyderabad → Kolkata,Zone Central,Zone East,Available
RT-0072,226001,Lucknow,560001,Bengaluru,1582,4,Lucknow → Bengaluru,Lucknow → Bengaluru,Zone Central,Zone North,Limited
RT-0073,452001,Indore,500001,Hyderabad,654,2,Indore → Hyderabad,Indore → Hyderabad,Zone East,Zone North,Available
RT-0074,700001,Kolkata,411001,Pune,1575,4,Kolkata → Pune,Kolkata → Pune,Zone North,Zone North,Limited
RT-0075,226001,Lucknow,462001,Bhopal,535,2,Lucknow → Bhopal,Lucknow → Bhopal,Zone East,Zone East,Available
RT-0076,700001,Kolkata,422001,Nashik,1536,4,Kolkata → Nashik,Kolkata → Nashik,Zone South,Zone West,Limited
RT-0077,452001,Indore,122001,Gurugram,649,2,Indore → Gurugram,Indore → Gurugram,Zone West,Zone North,Available
RT-0078,395001,Surat,208001,Kanpur,962,3,Surat → Kanpur,Surat → Kanpur,Zone Central,Zone Central,Available
RT-0079,452001,Indore,380001,Ahmedabad,338,1,Indore → Ahmedabad,Indore → Ahmedabad,Zone North,Zone North,Available
RT-0080,500001,Hyderabad,110001,Delhi,1259,3,Hyderabad → Delhi,Hyderabad → Delhi,Zone West,Zone East,Available
RT-0081,452001,Indore,400001,Mumbai,510,2,Indore → Mumbai,Indore → Mumbai,Zone North,Zone East,Available
RT-0082,400001,Mumbai,411001,Pune,120,1,Mumbai → Pune,Mumbai → Pune,Zone East,Zone Central,Available
RT-0083,302001,Jaipur,452001,Indore,466,2,Jaipur → Indore,Jaipur → Indore,Zone South,Zone East,Available
RT-0084,462001,Bhopal,226001,Lucknow,535,2,Bhopal → Lucknow,Bhopal → Lucknow,Zone North,Zone West,Available
RT-0085,411001,Pune,452001,Indore,511,2,Pune → Indore,Pune → Indore,Zone Central,Zone South,Available
RT-0086,110001,Delhi,500001,Hyderabad,1259,3,Delhi → Hyderabad,Delhi → Hyderabad,Zone East,Zone North,Available
RT-0087,363641,Morbi,440001,Nagpur,871,2,Morbi → Nagpur,Morbi → Nagpur (HQ),Zone Central,Zone East,Available
RT-0088,500001,Hyderabad,422001,Nashik,574,2,Hyderabad → Nashik,Hyderabad → Nashik,Zone North,Zone Central,Available
RT-0089,440001,Nagpur,492001,Raipur,264,1,Nagpur → Raipur,Nagpur (HQ) → Raipur,Zone East,Zone East,Available
RT-0090,440001,Nagpur,302001,Jaipur,723,2,Nagpur → Jaipur,Nagpur (HQ) → Jaipur,Zone Central,Zone Central,Available
RT-0091,122001,Gurugram,380001,Ahmedabad,751,2,Gurugram → Ahmedabad,Gurugram → Ahmedabad,Zone East,Zone West,Available
RT-0092,462001,Bhopal,208001,Kanpur,461,2,Bhopal → Kanpur,Bhopal → Kanpur,Zone East,Zone West,Available
RT-0093,422001,Nashik,400001,Mumbai,140,1,Nashik → Mumbai,Nashik → Mumbai,Zone North,Zone East,Available
RT-0094,363641,Morbi,400001,Mumbai,466,2,Morbi → Mumbai,Morbi → Mumbai,Zone West,Zone East,Available
RT-0095,411001,Pune,122001,Gurugram,1151,3,Pune → Gurugram,Pune → Gurugram,Zone Central,Zone Central,Available
RT-0096,492001,Raipur,208001,Kanpur,593,2,Raipur → Kanpur,Raipur → Kanpur,Zone Central,Zone South,Available
RT-0097,560001,Bengaluru,226001,Lucknow,1582,4,Bengaluru → Lucknow,Bengaluru → Lucknow,Zone Central,Zone North,Limited
RT-0098,122001,Gurugram,492001,Raipur,926,3,Gurugram → Raipur,Gurugram → Raipur,Zone West,Zone South,Available
RT-0099,560001,Bengaluru,208001,Kanpur,1526,4,Bengaluru → Kanpur,Bengaluru → Kanpur,Zone Central,Zone West,Limited
RT-0100,302001,Jaipur,226001,Lucknow,512,2,Jaipur → Lucknow,Jaipur → Lucknow,Zone West,Zone North,Available
RT-0101,226001,Lucknow,363641,Morbi,1114,3,Lucknow → Morbi,Lucknow → Morbi,Zone West,Zone East,Available
RT-0102,208001,Kanpur,380001,Ahmedabad,871,2,Kanpur → Ahmedabad,Kanpur → Ahmedabad,Zone South,Zone North,Available
RT-0103,363641,Morbi,208001,Kanpur,1041,3,Morbi → Kanpur,Morbi → Kanpur,Zone North,Zone West,Available
RT-0104,395001,Surat,122001,Gurugram,914,3,Surat → Gurugram,Surat → Gurugram,Zone West,Zone Central,Available
RT-0105,462001,Bhopal,110001,Delhi,599,2,Bhopal → Delhi,Bhopal → Delhi,Zone Central,Zone West,Available
RT-0106,492001,Raipur,208001,Kanpur,593,2,Raipur → Kanpur,Raipur → Kanpur,Zone Central,Zone North,Available
RT-0107,462001,Bhopal,395001,Surat,526,2,Bhopal → Surat,Bhopal → Surat,Zone Central,Zone Central,Available
RT-0108,411001,Pune,422001,Nashik,164,1,Pune → Nashik,Pune → Nashik,Zone West,Zone West,Available
RT-0109,422001,Nashik,700001,Kolkata,1536,4,Nashik → Kolkata,Nashik → Kolkata,Zone East,Zone South,Limited
RT-0110,122001,Gurugram,363641,Morbi,882,2,Gurugram → Morbi,Gurugram → Morbi,Zone East,Zone Central,Available
RT-0111,422001,Nashik,110001,Delhi,1022,3,Nashik → Delhi,Nashik → Delhi,Zone Central,Zone East,Available
RT-0112,492001,Raipur,380001,Ahmedabad,953,3,Raipur → Ahmedabad,Raipur → Ahmedabad,Zone East,Zone Central,Available
RT-0113,700001,Kolkata,208001,Kanpur,920,3,Kolkata → Kanpur,Kolkata → Kanpur,Zone Central,Zone South,Available
RT-0114,302001,Jaipur,560001,Bengaluru,1561,4,Jaipur → Bengaluru,Jaipur → Bengaluru,Zone West,Zone North,Limited
RT-0115,122001,Gurugram,700001,Kolkata,1311,3,Gurugram → Kolkata,Gurugram → Kolkata,Zone West,Zone East,Available
RT-0116,700001,Kolkata,422001,Nashik,1536,4,Kolkata → Nashik,Kolkata → Nashik,Zone South,Zone Central,Limited
RT-0117,380001,Ahmedabad,422001,Nashik,359,1,Ahmedabad → Nashik,Ahmedabad → Nashik,Zone West,Zone East,Available
RT-0118,395001,Surat,380001,Ahmedabad,208,1,Surat → Ahmedabad,Surat → Ahmedabad,Zone South,Zone West,Available
RT-0119,400001,Mumbai,560001,Bengaluru,845,2,Mumbai → Bengaluru,Mumbai → Bengaluru,Zone South,Zone East,Available
RT-0120,422001,Nashik,226001,Lucknow,1055,3,Nashik → Lucknow,Nashik → Lucknow,Zone East,Zone Central,Available
RT-0121,363641,Morbi,110001,Delhi,910,3,Morbi → Delhi,Morbi → Delhi,Zone West,Zone North,Available
RT-0122,380001,Ahmedabad,411001,Pune,518,2,Ahmedabad → Pune,Ahmedabad → Pune,Zone East,Zone Central,Available
RT-0123,380001,Ahmedabad,411001,Pune,518,2,Ahmedabad → Pune,Ahmedabad → Pune,Zone Central,Zone East,Available
RT-0124,452001,Indore,380001,Ahmedabad,338,1,Indore → Ahmedabad,Indore → Ahmedabad,Zone East,Zone North,Available
RT-0125,452001,Indore,302001,Jaipur,466,2,Indore → Jaipur,Indore → Jaipur,Zone Central,Zone Central,Available
RT-0126,462001,Bhopal,400001,Mumbai,661,2,Bhopal → Mumbai,Bhopal → Mumbai,Zone Central,Zone Central,Available
RT-0127,700001,Kolkata,395001,Surat,1610,4,Kolkata → Surat,Kolkata → Surat,Zone North,Zone South,Limited
RT-0128,492001,Raipur,302001,Jaipur,865,2,Raipur → Jaipur,Raipur → Jaipur,Zone North,Zone East,Available
RT-0129,395001,Surat,462001,Bhopal,526,2,Surat → Bhopal,Surat → Bhopal,Zone East,Zone West,Available
RT-0130,400001,Mumbai,492001,Raipur,945,3,Mumbai → Raipur,Mumbai → Raipur,Zone North,Zone Central,Available
RT-0131,492001,Raipur,422001,Nashik,828,2,Raipur → Nashik,Raipur → Nashik,Zone West,Zone Central,Available
RT-0132,500001,Hyderabad,380001,Ahmedabad,879,2,Hyderabad → Ahmedabad,Hyderabad → Ahmedabad,Zone West,Zone West,Available
RT-0133,208001,Kanpur,500001,Hyderabad,1026,3,Kanpur → Hyderabad,Kanpur → Hyderabad,Zone Central,Zone South,Available
RT-0134,492001,Raipur,122001,Gurugram,926,3,Raipur → Gurugram,Raipur → Gurugram,Zone West,Zone East,Available
RT-0135,363641,Morbi,500001,Hyderabad,1001,3,Morbi → Hyderabad,Morbi → Hyderabad,Zone East,Zone Central,Available
RT-0136,422001,Nashik,411001,Pune,164,1,Nashik → Pune,Nashik → Pune,Zone Central,Zone East,Available
RT-0137,122001,Gurugram,226001,Lucknow,426,1,Gurugram → Lucknow,Gurugram → Lucknow,Zone East,Zone South,Available
RT-0138,363641,Morbi,700001,Kolkata,1797,4,Morbi → Kolkata,Morbi → Kolkata,Zone South,Zone North,Limited
RT-0139,462001,Bhopal,363641,Morbi,675,2,Bhopal → Morbi,Bhopal → Morbi,Zone South,Zone Central,Available
RT-0140,380001,Ahmedabad,208001,Kanpur,871,2,Ahmedabad → Kanpur,Ahmedabad → Kanpur,Zone Central,Zone North,Available
RT-0141,440001,Nagpur,110001,Delhi,855,2,Nagpur → Delhi,Nagpur (HQ) → Delhi,Zone North,Zone East,Available
RT-0142,440001,Nagpur,363641,Morbi,871,2,Nagpur → Morbi,Nagpur (HQ) → Morbi,Zone Central,Zone Central,Available
RT-0143,400001,Mumbai,411001,Pune,120,1,Mumbai → Pune,Mumbai → Pune,Zone Central,Zone South,Available
RT-0144,492001,Raipur,440001,Nagpur,264,1,Raipur → Nagpur,Raipur → Nagpur (HQ),Zone North,Zone North,Available
RT-0145,302001,Jaipur,500001,Hyderabad,1095,3,Jaipur → Hyderabad,Jaipur → Hyderabad,Zone South,Zone Central,Available
RT-0146,400001,Mumbai,500001,Hyderabad,621,2,Mumbai → Hyderabad,Mumbai → Hyderabad,Zone North,Zone South,Available
RT-0147,500001,Hyderabad,363641,Morbi,1001,3,Hyderabad → Morbi,Hyderabad → Morbi,Zone East,Zone West,Available
RT-0148,208001,Kanpur,422001,Nashik,980,3,Kanpur → Nashik,Kanpur → Nashik,Zone Central,Zone West,Available
RT-0149,380001,Ahmedabad,422001,Nashik,359,1,Ahmedabad → Nashik,Ahmedabad → Nashik,Zone Central,Zone West,Available
RT-0150,110001,Delhi,302001,Jaipur,238,1,Delhi → Jaipur,Delhi → Jaipur,Zone South,Zone South,Available
RT-0151,110001,Delhi,452001,Indore,673,2,Delhi → Indore,Delhi → Indore,Zone East,Zone Central,Available
RT-0152,560001,Bengaluru,363641,Morbi,1306,3,Bengaluru → Morbi,Bengaluru → Morbi,Zone East,Zone West,Available
RT-0153,492001,Raipur,208001,Kanpur,593,2,Raipur → Kanpur,Raipur → Kanpur,Zone South,Zone Central,Available
RT-0154,452001,Indore,440001,Nagpur,376,1,Indore → Nagpur,Indore → Nagpur (HQ),Zone South,Zone West,Available
RT-0155,500001,Hyderabad,302001,Jaipur,1095,3,Hyderabad → Jaipur,Hyderabad → Jaipur,Zone East,Zone South,Available
RT-0156,226001,Lucknow,700001,Kolkata,887,2,Lucknow → Kolkata,Lucknow → Kolkata,Zone North,Zone East,Available
RT-0157,363641,Morbi,400001,Mumbai,466,2,Morbi → Mumbai,Morbi → Mumbai,Zone Central,Zone South,Available
RT-0158,380001,Ahmedabad,462001,Bhopal,496,2,Ahmedabad → Bhopal,Ahmedabad → Bhopal,Zone West,Zone North,Available
RT-0159,110001,Delhi,208001,Kanpur,392,1,Delhi → Kanpur,Delhi → Kanpur,Zone South,Zone West,Available
RT-0160,500001,Hyderabad,400001,Mumbai,621,2,Hyderabad → Mumbai,Hyderabad → Mumbai,Zone South,Zone North,Available
RT-0161,452001,Indore,208001,Kanpur,614,2,Indore → Kanpur,Indore → Kanpur,Zone North,Zone North,Available
RT-0162,500001,Hyderabad,395001,Surat,727,2,Hyderabad → Surat,Hyderabad → Surat,Zone East,Zone West,Available
RT-0163,411001,Pune,122001,Gurugram,1151,3,Pune → Gurugram,Pune → Gurugram,Zone West,Zone South,Available
RT-0164,700001,Kolkata,422001,Nashik,1536,4,Kolkata → Nashik,Kolkata → Nashik,Zone Central,Zone West,Limited
RT-0165,422001,Nashik,380001,Ahmedabad,359,1,Nashik → Ahmedabad,Nashik → Ahmedabad,Zone Central,Zone Central,Available
RT-0166,400001,Mumbai,395001,Surat,233,1,Mumbai → Surat,Mumbai → Surat,Zone South,Zone North,Available
RT-0167,110001,Delhi,302001,Jaipur,238,1,Delhi → Jaipur,Delhi → Jaipur,Zone North,Zone East,Available
RT-0168,208001,Kanpur,500001,Hyderabad,1026,3,Kanpur → Hyderabad,Kanpur → Hyderabad,Zone East,Zone Central,Available
RT-0169,363641,Morbi,395001,Surat,275,1,Morbi → Surat,Morbi → Surat,Zone North,Zone Central,Available
RT-0170,560001,Bengaluru,302001,Jaipur,1561,4,Bengaluru → Jaipur,Bengaluru → Jaipur,Zone Central,Zone Central,Limited
RT-0171,122001,Gurugram,208001,Kanpur,395,1,Gurugram → Kanpur,Gurugram → Kanpur,Zone South,Zone South,Available
RT-0172,500001,Hyderabad,462001,Bhopal,663,2,Hyderabad → Bhopal,Hyderabad → Bhopal,Zone South,Zone South,Available
RT-0173,226001,Lucknow,110001,Delhi,418,1,Lucknow → Delhi,Lucknow → Delhi,Zone East,Zone East,Available
RT-0174,400001,Mumbai,208001,Kanpur,1120,3,Mumbai → Kanpur,Mumbai → Kanpur,Zone Central,Zone Central,Available
RT-0175,500001,Hyderabad,560001,Bengaluru,500,2,Hyderabad → Bengaluru,Hyderabad → Bengaluru,Zone Central,Zone North,Available
RT-0176,302001,Jaipur,422001,Nashik,795,2,Jaipur → Nashik,Jaipur → Nashik,Zone Central,Zone South,Available
RT-0177,380001,Ahmedabad,462001,Bhopal,496,2,Ahmedabad → Bhopal,Ahmedabad → Bhopal,Zone East,Zone East,Available
RT-0178,363641,Morbi,560001,Bengaluru,1306,3,Morbi → Bengaluru,Morbi → Bengaluru,Zone West,Zone Central,Available
RT-0179,452001,Indore,110001,Delhi,673,2,Indore → Delhi,Indore → Delhi,Zone South,Zone East,Available
RT-0180,208001,Kanpur,411001,Pune,1104,3,Kanpur → Pune,Kanpur → Pune,Zone South,Zone North,Available
RT-0181,411001,Pune,395001,Surat,314,1,Pune → Surat,Pune → Surat,Zone East,Zone West,Available
RT-0182,110001,Delhi,462001,Bhopal,599,2,Delhi → Bhopal,Delhi → Bhopal,Zone West,Zone North,Available
RT-0183,452001,Indore,122001,Gurugram,649,2,Indore → Gurugram,Indore → Gurugram,Zone East,Zone South,Available
RT-0184,110001,Delhi,122001,Gurugram,28,1,Delhi → Gurugram,Delhi → Gurugram,Zone East,Zone Central,Available
RT-0185,363641,Morbi,302001,Jaipur,676,2,Morbi → Jaipur,Morbi → Jaipur,Zone East,Zone East,Available
RT-0186,700001,Kolkata,500001,Hyderabad,1182,3,Kolkata → Hyderabad,Kolkata → Hyderabad,Zone West,Zone West,Available
RT-0187,440001,Nagpur,400001,Mumbai,688,2,Nagpur → Mumbai,Nagpur (HQ) → Mumbai,Zone Central,Zone East,Available
RT-0188,560001,Bengaluru,208001,Kanpur,1526,4,Bengaluru → Kanpur,Bengaluru → Kanpur,Zone East,Zone East,Limited
RT-0189,226001,Lucknow,411001,Pune,1177,3,Lucknow → Pune,Lucknow → Pune,Zone East,Zone West,Available
RT-0190,363641,Morbi,452001,Indore,515,2,Morbi → Indore,Morbi → Indore,Zone West,Zone East,Available
RT-0191,380001,Ahmedabad,110001,Delhi,779,2,Ahmedabad → Delhi,Ahmedabad → Delhi,Zone West,Zone West,Available
RT-0192,400001,Mumbai,422001,Nashik,140,1,Mumbai → Nashik,Mumbai → Nashik,Zone East,Zone East,Available
RT-0193,380001,Ahmedabad,440001,Nagpur,703,2,Ahmedabad → Nagpur,Ahmedabad → Nagpur (HQ),Zone South,Zone North,Available
RT-0194,400001,Mumbai,110001,Delhi,1151,3,Mumbai → Delhi,Mumbai → Delhi,Zone North,Zone South,Available
RT-0195,208001,Kanpur,122001,Gurugram,395,1,Kanpur → Gurugram,Kanpur → Gurugram,Zone West,Zone South,Available
RT-0196,226001,Lucknow,380001,Ahmedabad,945,3,Lucknow → Ahmedabad,Lucknow → Ahmedabad,Zone East,Zone South,Available
RT-0197,302001,Jaipur,110001,Delhi,238,1,Jaipur → Delhi,Jaipur → Delhi,Zone North,Zone North,Available
RT-0198,122001,Gurugram,452001,Indore,649,2,Gurugram → Indore,Gurugram → Indore,Zone South,Zone West,Available
RT-0199,440001,Nagpur,411001,Pune,620,2,Nagpur → Pune,Nagpur (HQ) → Pune,Zone North,Zone North,Available
RT-0200,452001,Indore,380001,Ahmedabad,338,1,Indore → Ahmedabad,Indore → Ahmedabad,Zone East,Zone North,Available
RT-0201,462001,Bhopal,395001,Surat,526,2,Bhopal → Surat,Bhopal → Surat,Zone North,Zone North,Available
RT-0202,452001,Indore,462001,Bhopal,170,1,Indore → Bhopal,Indore → Bhopal,Zone South,Zone Central,Available
RT-0203,500001,Hyderabad,110001,Delhi,1259,3,Hyderabad → Delhi,Hyderabad → Delhi,Zone East,Zone Central,Available
RT-0204,700001,Kolkata,395001,Surat,1610,4,Kolkata → Surat,Kolkata → Surat,Zone Central,Zone East,Limited
RT-0205,500001,Hyderabad,380001,Ahmedabad,879,2,Hyderabad → Ahmedabad,Hyderabad → Ahmedabad,Zone West,Zone West,Available
RT-0206,400001,Mumbai,440001,Nagpur,688,2,Mumbai → Nagpur,Mumbai → Nagpur (HQ),Zone Central,Zone Central,Available
RT-0207,452001,Indore,122001,Gurugram,649,2,Indore → Gurugram,Indore → Gurugram,Zone Central,Zone North,Available
RT-0208,400001,Mumbai,452001,Indore,510,2,Mumbai → Indore,Mumbai → Indore,Zone West,Zone North,Available
RT-0209,400001,Mumbai,700001,Kolkata,1655,4,Mumbai → Kolkata,Mumbai → Kolkata,Zone North,Zone East,Limited
RT-0210,422001,Nashik,226001,Lucknow,1055,3,Nashik → Lucknow,Nashik → Lucknow,Zone South,Zone East,Available
RT-0211,422001,Nashik,208001,Kanpur,980,3,Nashik → Kanpur,Nashik → Kanpur,Zone West,Zone South,Available
RT-0212,395001,Surat,452001,Indore,357,1,Surat → Indore,Surat → Indore,Zone West,Zone East,Available
RT-0213,452001,Indore,560001,Bengaluru,1099,3,Indore → Bengaluru,Indore → Bengaluru,Zone Central,Zone Central,Available
RT-0214,400001,Mumbai,452001,Indore,510,2,Mumbai → Indore,Mumbai → Indore,Zone Central,Zone West,Available
RT-0215,302001,Jaipur,110001,Delhi,238,1,Jaipur → Delhi,Jaipur → Delhi,Zone South,Zone East,Available
